a1 b1 b1 b1 b1 b1 b1 b1 b1 b1 b1 b1 b1 b1 b1 c1
d1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 a3 b3 b3 c3 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 d3 e3 e3 f3 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 d3 e3 e3 f3 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 g3 h3 h3 i3 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
d1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 e1 f1
g1 h1 h1 h1 h1 h1 h1 h1 h1 h1 h1 h1 h1 h1 h1 i1
